perguntas,respostas
obg,De nada! Se precisar de mais alguma coisa é só chamar.
vlw,De nada! Se precisar de mais alguma coisa é só chamar.
valeu pela ajuda,De nada! Se precisar de mais alguma coisa é só chamar.
agradecido,De nada! Se precisar de mais alguma coisa é só chamar.
agradecida,De nada! Se precisar de mais alguma coisa é só chamar.
show valeu,De nada! Se precisar de mais alguma coisa é só chamar.
,
tchau,Até logo! Volte sempre!
adeus,Até logo! Volte sempre!
falou,Até logo! Volte sempre!
flw,Até logo! Volte sempre!
otima dia,Até logo! Volte sempre!
otima tarde,Até logo! Volte sempre!
otima noite,Até logo! Volte sempre!
tenha um otimo dia,Até logo! Volte sempre!
tenha uma otima tarde,Até logo! Volte sempre!
tenha uma otima noite,Até logo! Volte sempre!
até mais,Até logo! Volte sempre!
vlw,Até logo! Volte sempre!
agradecido,Até logo! Volte sempre!
agradecida,Até logo! Volte sempre!
,
meu site apresenta não seguro,Para o caso do site estar apresentando insegurança indico seguir essa wiki: https://www.locaweb.com.br/ajuda/wiki/site-nao-seguro-como-resolver/
por que meu site aparece como não seguro?,Para o caso do site estar apresentando insegurança indico seguir essa wiki: https://www.locaweb.com.br/ajuda/wiki/site-nao-seguro-como-resolver/
aviso de site não seguro no navegador,Para o caso do site estar apresentando insegurança indico seguir essa wiki: https://www.locaweb.com.br/ajuda/wiki/site-nao-seguro-como-resolver/
"meu domínio está mostrando a mensagem ""não seguro""",Para o caso do site estar apresentando insegurança indico seguir essa wiki: https://www.locaweb.com.br/ajuda/wiki/site-nao-seguro-como-resolver/
como tirar o aviso de não seguro do meu site?,Para o caso do site estar apresentando insegurança indico seguir essa wiki: https://www.locaweb.com.br/ajuda/wiki/site-nao-seguro-como-resolver/
como remover a mensagem de não seguro do meu site?,Para o caso do site estar apresentando insegurança indico seguir essa wiki: https://www.locaweb.com.br/ajuda/wiki/site-nao-seguro-como-resolver/
site marcando como inseguro,Para o caso do site estar apresentando insegurança indico seguir essa wiki: https://www.locaweb.com.br/ajuda/wiki/site-nao-seguro-como-resolver/
o cadeado de segurança não esta aparecendo no meu site,Para o caso do site estar apresentando insegurança indico seguir essa wiki: https://www.locaweb.com.br/ajuda/wiki/site-nao-seguro-como-resolver/
o cadeado está aberto o que eu posso fazer ?,Para o caso do site estar apresentando insegurança indico seguir essa wiki: https://www.locaweb.com.br/ajuda/wiki/site-nao-seguro-como-resolver/
o cadeado esta com um traço vermelho,Para o caso do site estar apresentando insegurança indico seguir essa wiki: https://www.locaweb.com.br/ajuda/wiki/site-nao-seguro-como-resolver/
aparece um triângulo de alerta ao lado do meu domínio,Para o caso do site estar apresentando insegurança indico seguir essa wiki: https://www.locaweb.com.br/ajuda/wiki/site-nao-seguro-como-resolver/
o google chrome diz que a conexão com o meu site não é segura,Para o caso do site estar apresentando insegurança indico seguir essa wiki: https://www.locaweb.com.br/ajuda/wiki/site-nao-seguro-como-resolver/
"a barra de endereço mostra ""not secure""",Para o caso do site estar apresentando insegurança indico seguir essa wiki: https://www.locaweb.com.br/ajuda/wiki/site-nao-seguro-como-resolver/
meu cliente estão recebendo um aviso de perigo ao acessar o site,Para o caso do site estar apresentando insegurança indico seguir essa wiki: https://www.locaweb.com.br/ajuda/wiki/site-nao-seguro-como-resolver/
"aparece uma mensagem de ""sua conexão não é particular""",Para o caso do site estar apresentando insegurança indico seguir essa wiki: https://www.locaweb.com.br/ajuda/wiki/site-nao-seguro-como-resolver/
o site diz que pode estar tentando roubar minhas informações,Para o caso do site estar apresentando insegurança indico seguir essa wiki: https://www.locaweb.com.br/ajuda/wiki/site-nao-seguro-como-resolver/
,
como liberar meu dominio na registro.br,Para a liberação ou problemas relacionado a dominio na registro br: https://registro.br/dominio/processo-de-liberacao/
como faço a liberação de domínio no registro.br?,Para a liberação ou problemas relacionado a dominio na registro br: https://registro.br/dominio/processo-de-liberacao/
quero liberar meu domínio no registro.br,Para a liberação ou problemas relacionado a dominio na registro br: https://registro.br/dominio/processo-de-liberacao/
passo a passo do processo de liberação,Para a liberação ou problemas relacionado a dominio na registro br: https://registro.br/dominio/processo-de-liberacao/
link para liberação de domínio,Para a liberação ou problemas relacionado a dominio na registro br: https://registro.br/dominio/processo-de-liberacao/
procedimento para libera um domínio .br,Para a liberação ou problemas relacionado a dominio na registro br: https://registro.br/dominio/processo-de-liberacao/
meu domínio está preso em outro provedor como resolver?,Para a liberação ou problemas relacionado a dominio na registro br: https://registro.br/dominio/processo-de-liberacao/
como desvinvular meu domínio do provedor atual na registro.br?,Para a liberação ou problemas relacionado a dominio na registro br: https://registro.br/dominio/processo-de-liberacao/
não consigo alterar o provedor do meu domínio aparece que preciso liberar,Para a liberação ou problemas relacionado a dominio na registro br: https://registro.br/dominio/processo-de-liberacao/
retirar vínculo de provedor no registro.br,Para a liberação ou problemas relacionado a dominio na registro br: https://registro.br/dominio/processo-de-liberacao/
destravar domínio para trocar a hospedagem,Para a liberação ou problemas relacionado a dominio na registro br: https://registro.br/dominio/processo-de-liberacao/
como resolver conflito de ID no registro.br?,Para a liberação ou problemas relacionado a dominio na registro br: https://registro.br/dominio/processo-de-liberacao/
como fazer a liberação de ID técnico/administrativo?,Para a liberação ou problemas relacionado a dominio na registro br: https://registro.br/dominio/processo-de-liberacao/
onde encontro o modelo de carta para liberação de domínio?,Para a liberação ou problemas relacionado a dominio na registro br: https://registro.br/dominio/processo-de-liberacao/
processo administrativo de liberação de domínio,Para a liberação ou problemas relacionado a dominio na registro br: https://registro.br/dominio/processo-de-liberacao/
erro de domínio vinculado a outro ticket ou ID,Para a liberação ou problemas relacionado a dominio na registro br: https://registro.br/dominio/processo-de-liberacao/
,
como configuro meu email locaweb no outlook?,Como configurar o email locaweb no outlook: https://www.locaweb.com.br/ajuda/wiki/configuracao-de-outlook-email-locaweb/ e também possui a opção: https://www.locaweb.com.br/ajuda/wiki/como-configurar-email-locaweb-no-office-365-email-locaweb
como faço para configurar meu e-mail Locaweb no Outlook?,Como configurar o email locaweb no outlook: https://www.locaweb.com.br/ajuda/wiki/configuracao-de-outlook-email-locaweb/ e também possui a opção: https://www.locaweb.com.br/ajuda/wiki/como-configurar-email-locaweb-no-office-365-email-locaweb
tutorial para usar e-mail no Outlook.,Como configurar o email locaweb no outlook: https://www.locaweb.com.br/ajuda/wiki/configuracao-de-outlook-email-locaweb/ e também possui a opção: https://www.locaweb.com.br/ajuda/wiki/como-configurar-email-locaweb-no-office-365-email-locaweb
Passo a passo configuração Outlook Locaweb.,Como configurar o email locaweb no outlook: https://www.locaweb.com.br/ajuda/wiki/configuracao-de-outlook-email-locaweb/ e também possui a opção: https://www.locaweb.com.br/ajuda/wiki/como-configurar-email-locaweb-no-office-365-email-locaweb
Quero colocar meu e-mail corporativo no Outlook.,Como configurar o email locaweb no outlook: https://www.locaweb.com.br/ajuda/wiki/configuracao-de-outlook-email-locaweb/ e também possui a opção: https://www.locaweb.com.br/ajuda/wiki/como-configurar-email-locaweb-no-office-365-email-locaweb
Como acessar minha conta Locaweb pelo Outlook?,Como configurar o email locaweb no outlook: https://www.locaweb.com.br/ajuda/wiki/configuracao-de-outlook-email-locaweb/ e também possui a opção: https://www.locaweb.com.br/ajuda/wiki/como-configurar-email-locaweb-no-office-365-email-locaweb
Como adicionar uma nova conta no Outlook?,Como configurar o email locaweb no outlook: https://www.locaweb.com.br/ajuda/wiki/configuracao-de-outlook-email-locaweb/ e também possui a opção: https://www.locaweb.com.br/ajuda/wiki/como-configurar-email-locaweb-no-office-365-email-locaweb
Preciso vincular meu e-mail ao Outlook.,Como configurar o email locaweb no outlook: https://www.locaweb.com.br/ajuda/wiki/configuracao-de-outlook-email-locaweb/ e também possui a opção: https://www.locaweb.com.br/ajuda/wiki/como-configurar-email-locaweb-no-office-365-email-locaweb
Como sincronizar minhas mensagens da Locaweb no Outlook?,Como configurar o email locaweb no outlook: https://www.locaweb.com.br/ajuda/wiki/configuracao-de-outlook-email-locaweb/ e também possui a opção: https://www.locaweb.com.br/ajuda/wiki/como-configurar-email-locaweb-no-office-365-email-locaweb
Instalar e-mail no programa Outlook.,Como configurar o email locaweb no outlook: https://www.locaweb.com.br/ajuda/wiki/configuracao-de-outlook-email-locaweb/ e também possui a opção: https://www.locaweb.com.br/ajuda/wiki/como-configurar-email-locaweb-no-office-365-email-locaweb
Logar no Outlook com e-mail Locaweb.,Como configurar o email locaweb no outlook: https://www.locaweb.com.br/ajuda/wiki/configuracao-de-outlook-email-locaweb/ e também possui a opção: https://www.locaweb.com.br/ajuda/wiki/como-configurar-email-locaweb-no-office-365-email-locaweb
Quais as portas de entrada e saída para o Outlook?,Como configurar o email locaweb no outlook: https://www.locaweb.com.br/ajuda/wiki/configuracao-de-outlook-email-locaweb/ e também possui a opção: https://www.locaweb.com.br/ajuda/wiki/como-configurar-email-locaweb-no-office-365-email-locaweb
Configuração de servidor SMTP e IMAP no Outlook.,Como configurar o email locaweb no outlook: https://www.locaweb.com.br/ajuda/wiki/configuracao-de-outlook-email-locaweb/ e também possui a opção: https://www.locaweb.com.br/ajuda/wiki/como-configurar-email-locaweb-no-office-365-email-locaweb
Como configurar POP3 no Outlook?,Como configurar o email locaweb no outlook: https://www.locaweb.com.br/ajuda/wiki/configuracao-de-outlook-email-locaweb/ e também possui a opção: https://www.locaweb.com.br/ajuda/wiki/como-configurar-email-locaweb-no-office-365-email-locaweb
Qual o servidor de entrada da Locaweb para por no Outlook?,Como configurar o email locaweb no outlook: https://www.locaweb.com.br/ajuda/wiki/configuracao-de-outlook-email-locaweb/ e também possui a opção: https://www.locaweb.com.br/ajuda/wiki/como-configurar-email-locaweb-no-office-365-email-locaweb
"O Outlook pede servidor de entrada e saída, o que eu coloco?",Como configurar o email locaweb no outlook: https://www.locaweb.com.br/ajuda/wiki/configuracao-de-outlook-email-locaweb/ e também possui a opção: https://www.locaweb.com.br/ajuda/wiki/como-configurar-email-locaweb-no-office-365-email-locaweb
Configurar e-mail Locaweb no Outlook 365.,Como configurar o email locaweb no outlook: https://www.locaweb.com.br/ajuda/wiki/configuracao-de-outlook-email-locaweb/ e também possui a opção: https://www.locaweb.com.br/ajuda/wiki/como-configurar-email-locaweb-no-office-365-email-locaweb
Como configurar no Outlook 2016 ou 2019?,Como configurar o email locaweb no outlook: https://www.locaweb.com.br/ajuda/wiki/configuracao-de-outlook-email-locaweb/ e também possui a opção: https://www.locaweb.com.br/ajuda/wiki/como-configurar-email-locaweb-no-office-365-email-locaweb
Configuração para a versão nova do Outlook.,Como configurar o email locaweb no outlook: https://www.locaweb.com.br/ajuda/wiki/configuracao-de-outlook-email-locaweb/ e também possui a opção: https://www.locaweb.com.br/ajuda/wiki/como-configurar-email-locaweb-no-office-365-email-locaweb
Configurar email no Outlook do pacote Office.,Como configurar o email locaweb no outlook: https://www.locaweb.com.br/ajuda/wiki/configuracao-de-outlook-email-locaweb/ e também possui a opção: https://www.locaweb.com.br/ajuda/wiki/como-configurar-email-locaweb-no-office-365-email-locaweb
,
Meu site está fora do ar. Quais são as causas mais comuns e como posso resolver?,Principais erros para o site estar fora do ar: https://www.locaweb.com.br/blog/temas/codigo-aberto/site-fora-do-ar-conheca-as-principais-causas-e-como-evitar-o-problema
Meu site caiu o que eu faço?,Principais erros para o site estar fora do ar: https://www.locaweb.com.br/blog/temas/codigo-aberto/site-fora-do-ar-conheca-as-principais-causas-e-como-evitar-o-problema
O site não está carregando.,Principais erros para o site estar fora do ar: https://www.locaweb.com.br/blog/temas/codigo-aberto/site-fora-do-ar-conheca-as-principais-causas-e-como-evitar-o-problema
Página fora do ar.,Principais erros para o site estar fora do ar: https://www.locaweb.com.br/blog/temas/codigo-aberto/site-fora-do-ar-conheca-as-principais-causas-e-como-evitar-o-problema
Meu domínio parou de funcionar.,Principais erros para o site estar fora do ar: https://www.locaweb.com.br/blog/temas/codigo-aberto/site-fora-do-ar-conheca-as-principais-causas-e-como-evitar-o-problema
"Não consigo acessar meu site, aparece erro.",Principais erros para o site estar fora do ar: https://www.locaweb.com.br/blog/temas/codigo-aberto/site-fora-do-ar-conheca-as-principais-causas-e-como-evitar-o-problema
O servidor parou de responder.,Principais erros para o site estar fora do ar: https://www.locaweb.com.br/blog/temas/codigo-aberto/site-fora-do-ar-conheca-as-principais-causas-e-como-evitar-o-problema
Problemas de conexão com o host.,Principais erros para o site estar fora do ar: https://www.locaweb.com.br/blog/temas/codigo-aberto/site-fora-do-ar-conheca-as-principais-causas-e-como-evitar-o-problema
Minha hospedagem está offline.,Principais erros para o site estar fora do ar: https://www.locaweb.com.br/blog/temas/codigo-aberto/site-fora-do-ar-conheca-as-principais-causas-e-como-evitar-o-problema
O site está dando Erro 500 (Internal Server Error).,Principais erros para o site estar fora do ar: https://www.locaweb.com.br/blog/temas/codigo-aberto/site-fora-do-ar-conheca-as-principais-causas-e-como-evitar-o-problema
"Aparece ""Erro ao estabelecer conexão com o banco de dados"".",Principais erros para o site estar fora do ar: https://www.locaweb.com.br/blog/temas/codigo-aberto/site-fora-do-ar-conheca-as-principais-causas-e-como-evitar-o-problema
Tela branca ao acessar o site (White Screen of Death).,Principais erros para o site estar fora do ar: https://www.locaweb.com.br/blog/temas/codigo-aberto/site-fora-do-ar-conheca-as-principais-causas-e-como-evitar-o-problema
Erro 503 Service Unavailable.,Principais erros para o site estar fora do ar: https://www.locaweb.com.br/blog/temas/codigo-aberto/site-fora-do-ar-conheca-as-principais-causas-e-como-evitar-o-problema
O site excedeu o limite de recursos e saiu do ar.,Principais erros para o site estar fora do ar: https://www.locaweb.com.br/blog/temas/codigo-aberto/site-fora-do-ar-conheca-as-principais-causas-e-como-evitar-o-problema
Por que meu site fica saindo do ar toda hora?,Principais erros para o site estar fora do ar: https://www.locaweb.com.br/blog/temas/codigo-aberto/site-fora-do-ar-conheca-as-principais-causas-e-como-evitar-o-problema
Como descobrir o motivo do site estar offline?,Principais erros para o site estar fora do ar: https://www.locaweb.com.br/blog/temas/codigo-aberto/site-fora-do-ar-conheca-as-principais-causas-e-como-evitar-o-problema
Quais as causas para o site travar?,Principais erros para o site estar fora do ar: https://www.locaweb.com.br/blog/temas/codigo-aberto/site-fora-do-ar-conheca-as-principais-causas-e-como-evitar-o-problema
Como diagnosticar site fora do ar?,Principais erros para o site estar fora do ar: https://www.locaweb.com.br/blog/temas/codigo-aberto/site-fora-do-ar-conheca-as-principais-causas-e-como-evitar-o-problema
O problema é no meu site ou na hospedagem?,Principais erros para o site estar fora do ar: https://www.locaweb.com.br/blog/temas/codigo-aberto/site-fora-do-ar-conheca-as-principais-causas-e-como-evitar-o-problema
,
Como faço para acessar ou subir arquivos por FTP (FileZilla) na Locaweb?,Como fazer acesso ao ftp locaweb: https://www.locaweb.com.br/ajuda/wiki/como-acessar-o-ftp-atraves-do-filezilla-revenda-locaweb/
Como configurar o FileZilla na Locaweb?,Como fazer acesso ao ftp locaweb: https://www.locaweb.com.br/ajuda/wiki/como-acessar-o-ftp-atraves-do-filezilla-revenda-locaweb/
Passo a passo para acessar o FTP pelo FileZilla.,Como fazer acesso ao ftp locaweb: https://www.locaweb.com.br/ajuda/wiki/como-acessar-o-ftp-atraves-do-filezilla-revenda-locaweb/
Dados para conexão no FileZilla.,Como fazer acesso ao ftp locaweb: https://www.locaweb.com.br/ajuda/wiki/como-acessar-o-ftp-atraves-do-filezilla-revenda-locaweb/
"Onde coloco o host, usuário e senha no FileZilla?",Como fazer acesso ao ftp locaweb: https://www.locaweb.com.br/ajuda/wiki/como-acessar-o-ftp-atraves-do-filezilla-revenda-locaweb/
Tutorial de FileZilla para Locaweb.,Como fazer acesso ao ftp locaweb: https://www.locaweb.com.br/ajuda/wiki/como-acessar-o-ftp-atraves-do-filezilla-revenda-locaweb/
Como faço para subir meu site para a hospedagem?,Como fazer acesso ao ftp locaweb: https://www.locaweb.com.br/ajuda/wiki/como-acessar-o-ftp-atraves-do-filezilla-revenda-locaweb/
Quero enviar os arquivos do meu site para o servidor.,Como fazer acesso ao ftp locaweb: https://www.locaweb.com.br/ajuda/wiki/como-acessar-o-ftp-atraves-do-filezilla-revenda-locaweb/
Como publicar meu site usando FTP?,Como fazer acesso ao ftp locaweb: https://www.locaweb.com.br/ajuda/wiki/como-acessar-o-ftp-atraves-do-filezilla-revenda-locaweb/
Transferir arquivos do meu computador para a Locaweb.,Como fazer acesso ao ftp locaweb: https://www.locaweb.com.br/ajuda/wiki/como-acessar-o-ftp-atraves-do-filezilla-revenda-locaweb/
Colocar site no ar via FTP.,Como fazer acesso ao ftp locaweb: https://www.locaweb.com.br/ajuda/wiki/como-acessar-o-ftp-atraves-do-filezilla-revenda-locaweb/
Qual é o host de FTP da Locaweb?,Como fazer acesso ao ftp locaweb: https://www.locaweb.com.br/ajuda/wiki/como-acessar-o-ftp-atraves-do-filezilla-revenda-locaweb/
"Não consigo conectar no FTP, qual a porta correta?",Como fazer acesso ao ftp locaweb: https://www.locaweb.com.br/ajuda/wiki/como-acessar-o-ftp-atraves-do-filezilla-revenda-locaweb/
Erro de conexão no FileZilla.,Como fazer acesso ao ftp locaweb: https://www.locaweb.com.br/ajuda/wiki/como-acessar-o-ftp-atraves-do-filezilla-revenda-locaweb/
Como descobrir meu usuário e senha de FTP?,Como fazer acesso ao ftp locaweb: https://www.locaweb.com.br/ajuda/wiki/como-acessar-o-ftp-atraves-do-filezilla-revenda-locaweb/
O FileZilla não conecta no servidor.,Como fazer acesso ao ftp locaweb: https://www.locaweb.com.br/ajuda/wiki/como-acessar-o-ftp-atraves-do-filezilla-revenda-locaweb/
Como acessar os arquivos do servidor remotamente?,Como fazer acesso ao ftp locaweb: https://www.locaweb.com.br/ajuda/wiki/como-acessar-o-ftp-atraves-do-filezilla-revenda-locaweb/
Acesso FTP na revenda ou hospedagem.,Como fazer acesso ao ftp locaweb: https://www.locaweb.com.br/ajuda/wiki/como-acessar-o-ftp-atraves-do-filezilla-revenda-locaweb/
Como usar um cliente de FTP?,Como fazer acesso ao ftp locaweb: https://www.locaweb.com.br/ajuda/wiki/como-acessar-o-ftp-atraves-do-filezilla-revenda-locaweb/
Gerenciamento de arquivos via FTP.,Como fazer acesso ao ftp locaweb: https://www.locaweb.com.br/ajuda/wiki/como-acessar-o-ftp-atraves-do-filezilla-revenda-locaweb/
,
Como visualizar os dados ftp da hospedagem ?,Para visualizar os dados ftp da sua hospedagem: https://www.locaweb.com.br/ajuda/wiki/como-ver-os-dados-de-acesso-ao-ftp-hospedagem-de-sites
Onde vejo os dados de acesso ao FTP?,Para visualizar os dados ftp da sua hospedagem: https://www.locaweb.com.br/ajuda/wiki/como-ver-os-dados-de-acesso-ao-ftp-hospedagem-de-sites
Onde ficam as informações de FTP no painel?,Para visualizar os dados ftp da sua hospedagem: https://www.locaweb.com.br/ajuda/wiki/como-ver-os-dados-de-acesso-ao-ftp-hospedagem-de-sites
Como visualizar meu login e host de FTP?,Para visualizar os dados ftp da sua hospedagem: https://www.locaweb.com.br/ajuda/wiki/como-ver-os-dados-de-acesso-ao-ftp-hospedagem-de-sites
Caminho para ver as configurações de FTP na hospedagem.,Para visualizar os dados ftp da sua hospedagem: https://www.locaweb.com.br/ajuda/wiki/como-ver-os-dados-de-acesso-ao-ftp-hospedagem-de-sites
Onde encontro meus dados de conexão?,Para visualizar os dados ftp da sua hospedagem: https://www.locaweb.com.br/ajuda/wiki/como-ver-os-dados-de-acesso-ao-ftp-hospedagem-de-sites
Qual é o endereço do meu servidor FTP?,Para visualizar os dados ftp da sua hospedagem: https://www.locaweb.com.br/ajuda/wiki/como-ver-os-dados-de-acesso-ao-ftp-hospedagem-de-sites
"Não sei qual é o meu usuário de FTP, como descobrir?",Para visualizar os dados ftp da sua hospedagem: https://www.locaweb.com.br/ajuda/wiki/como-ver-os-dados-de-acesso-ao-ftp-hospedagem-de-sites
"Qual ""Host"" eu coloco no FileZilla?",Para visualizar os dados ftp da sua hospedagem: https://www.locaweb.com.br/ajuda/wiki/como-ver-os-dados-de-acesso-ao-ftp-hospedagem-de-sites
Preciso saber o nome do servidor para conectar.,Para visualizar os dados ftp da sua hospedagem: https://www.locaweb.com.br/ajuda/wiki/como-ver-os-dados-de-acesso-ao-ftp-hospedagem-de-sites
Qual é o IP ou endereço para conexão FTP?,Para visualizar os dados ftp da sua hospedagem: https://www.locaweb.com.br/ajuda/wiki/como-ver-os-dados-de-acesso-ao-ftp-hospedagem-de-sites
Quais dados eu uso para configurar o FileZilla?,Para visualizar os dados ftp da sua hospedagem: https://www.locaweb.com.br/ajuda/wiki/como-ver-os-dados-de-acesso-ao-ftp-hospedagem-de-sites
O que eu coloco nos campos de conexão do programa de FTP?,Para visualizar os dados ftp da sua hospedagem: https://www.locaweb.com.br/ajuda/wiki/como-ver-os-dados-de-acesso-ao-ftp-hospedagem-de-sites
"Preciso dos dados para subir meu site, onde pego?",Para visualizar os dados ftp da sua hospedagem: https://www.locaweb.com.br/ajuda/wiki/como-ver-os-dados-de-acesso-ao-ftp-hospedagem-de-sites
Dados para conectar via Dreamweaver ou FileZilla.,Para visualizar os dados ftp da sua hospedagem: https://www.locaweb.com.br/ajuda/wiki/como-ver-os-dados-de-acesso-ao-ftp-hospedagem-de-sites
Recuperar informações de acesso ao servidor de arquivos.,Para visualizar os dados ftp da sua hospedagem: https://www.locaweb.com.br/ajuda/wiki/como-ver-os-dados-de-acesso-ao-ftp-hospedagem-de-sites
,
Meu site está lento. Como otimizar o desempenho na hospedagem?,Recomendo para o seu site: https://www.locaweb.com.br/blog/temas/codigo-aberto/site-lento-o-que-fazer/
Meu site demora muito para carregar.,Recomendo para o seu site: https://www.locaweb.com.br/blog/temas/codigo-aberto/site-lento-o-que-fazer/
A página fica carregando infinitamente e não abre.,Recomendo para o seu site: https://www.locaweb.com.br/blog/temas/codigo-aberto/site-lento-o-que-fazer/
Site muito pesado e lento.,Recomendo para o seu site: https://www.locaweb.com.br/blog/temas/codigo-aberto/site-lento-o-que-fazer/
Estou enfrentando lentidão no acesso ao meu site.,Recomendo para o seu site: https://www.locaweb.com.br/blog/temas/codigo-aberto/site-lento-o-que-fazer/
O site está travando ou engasgando.,Recomendo para o seu site: https://www.locaweb.com.br/blog/temas/codigo-aberto/site-lento-o-que-fazer/
Como faço para deixar meu site mais rápido?,Recomendo para o seu site: https://www.locaweb.com.br/blog/temas/codigo-aberto/site-lento-o-que-fazer/
Quero acelerar o carregamento das minhas páginas.,Recomendo para o seu site: https://www.locaweb.com.br/blog/temas/codigo-aberto/site-lento-o-que-fazer/
Como melhorar a performance do meu site?,Recomendo para o seu site: https://www.locaweb.com.br/blog/temas/codigo-aberto/site-lento-o-que-fazer/
Dicas para otimizar o desempenho da hospedagem.,Recomendo para o seu site: https://www.locaweb.com.br/blog/temas/codigo-aberto/site-lento-o-que-fazer/
O que fazer para diminuir o tempo de resposta do site?,Recomendo para o seu site: https://www.locaweb.com.br/blog/temas/codigo-aberto/site-lento-o-que-fazer/
"Meu WordPress está muito lento, como resolver?",Recomendo para o seu site: https://www.locaweb.com.br/blog/temas/codigo-aberto/site-lento-o-que-fazer/
Minha nota no Google PageSpeed está baixa.,Recomendo para o seu site: https://www.locaweb.com.br/blog/temas/codigo-aberto/site-lento-o-que-fazer/
O banco de dados está demorando para responder.,Recomendo para o seu site: https://www.locaweb.com.br/blog/temas/codigo-aberto/site-lento-o-que-fazer/
Problemas com TTFB (Time to First Byte) alto.,Recomendo para o seu site: https://www.locaweb.com.br/blog/temas/codigo-aberto/site-lento-o-que-fazer/
Como configurar cache para melhorar a velocidade?,Recomendo para o seu site: https://www.locaweb.com.br/blog/temas/codigo-aberto/site-lento-o-que-fazer/
Por que meu site ficou lento de repente?,Recomendo para o seu site: https://www.locaweb.com.br/blog/temas/codigo-aberto/site-lento-o-que-fazer/
É problema na hospedagem ou no meu código que deixa o site lento?,Recomendo para o seu site: https://www.locaweb.com.br/blog/temas/codigo-aberto/site-lento-o-que-fazer/
O servidor está com latência alta?,Recomendo para o seu site: https://www.locaweb.com.br/blog/temas/codigo-aberto/site-lento-o-que-fazer/
